"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"111";"LT";"TOTAL";"HUMSTAT";0;55,169438;23,881275;"Lithuania"
"112";"LU";"TOTAL";"HUMSTAT";NA;49,815273;6,129583;"Luxembourg"
"113";"HU";"TOTAL";"HUMSTAT";0;47,162494;19,503304;"Hungary"
"114";"MT";"TOTAL";"HUMSTAT";0;35,937496;14,375416;"Malta"
"115";"NL";"TOTAL";"HUMSTAT";75;52,132633;5,291266;"Netherlands"
"116";"AT";"TOTAL";"HUMSTAT";70;47,516231;14,550072;"Austria"
"117";"PL";"TOTAL";"HUMSTAT";10;51,919438;19,145136;"Poland"
"118";"PT";"TOTAL";"HUMSTAT";NA;39,399872;-8,224454;"Portugal"
"119";"RO";"TOTAL";"HUMSTAT";0;45,943161;24,96676;"Romania"
"120";"SI";"TOTAL";"HUMSTAT";NA;46,151241;14,995463;"Slovenia"
"121";"SK";"TOTAL";"HUMSTAT";10;48,669026;19,699024;"Slovakia"
"122";"FI";"TOTAL";"HUMSTAT";300;61,92411;25,748151;"Finland"
"123";"SE";"TOTAL";"HUMSTAT";755;60,128161;18,643501;"Sweden"
"124";"UK";"TOTAL";"HUMSTAT";270;55,378051;-3,435973;"United Kingdom"
"125";"IS";"TOTAL";"HUMSTAT";5;64,963051;-19,020835;"Iceland"
"126";"LI";"TOTAL";"HUMSTAT";5;47,166;9,555373;"Liechtenstein"
"127";"NO";"TOTAL";"HUMSTAT";405;60,472024;8,468946;"Norway"
"128";"CH";"TOTAL";"HUMSTAT";1760;46,818188;8,227512;"Switzerland"
"129";"BE";"TOTAL";"GENCONV";2540;50,503887;4,469936;"Belgium"
"130";"BG";"TOTAL";"GENCONV";275;42,733883;25,48583;"Bulgaria"
"131";"CZ";"TOTAL";"GENCONV";10;49,817492;15,472962;"Czech Republic"
"132";"DK";"TOTAL";"GENCONV";650;56,26392;9,501785;"Denmark"
"133";"DE";"TOTAL";"GENCONV";59300;51,165691;10,451526;"Germany"
"134";"EE";"TOTAL";"GENCONV";10;58,595272;25,013607;"Estonia"
"135";"IE";"TOTAL";"GENCONV";125;53,41291;-8,24389;"Ireland"
"136";"EL";"TOTAL";"GENCONV";1145;39,074208;21,824312;"Greece"
"137";"ES";"TOTAL";"GENCONV";130;40,463667;-3,74922;"Spain"
"138";"FR";"TOTAL";"GENCONV";5045;46,227638;2,213749;"France"
"139";"HR";"TOTAL";"GENCONV";35;45,1;15,2;"Croatia"
"140";"IT";"TOTAL";"GENCONV";1345;41,87194;12,56738;"Italy"
"141";"CY";"TOTAL";"GENCONV";65;35,126413;33,429859;"Cyprus"
"142";"LV";"TOTAL";"GENCONV";10;56,879635;24,603189;"Latvia"
"143";"LT";"TOTAL";"GENCONV";115;55,169438;23,881275;"Lithuania"
"144";"LU";"TOTAL";"GENCONV";250;49,815273;6,129583;"Luxembourg"
"145";"HU";"TOTAL";"GENCONV";25;47,162494;19,503304;"Hungary"
"146";"MT";"TOTAL";"GENCONV";30;35,937496;14,375416;"Malta"
"147";"NL";"TOTAL";"GENCONV";640;52,132633;5,291266;"Netherlands"
"148";"AT";"TOTAL";"GENCONV";7215;47,516231;14,550072;"Austria"
"149";"PL";"TOTAL";"GENCONV";40;51,919438;19,145136;"Poland"
"150";"PT";"TOTAL";"GENCONV";35;39,399872;-8,224454;"Portugal"
"151";"RO";"TOTAL";"GENCONV";280;45,943161;24,96676;"Romania"
"152";"SI";"TOTAL";"GENCONV";50;46,151241;14,995463;"Slovenia"
"153";"SK";"TOTAL";"GENCONV";0;48,669026;19,699024;"Slovakia"
"154";"FI";"TOTAL";"GENCONV";1510;61,92411;25,748151;"Finland"
"155";"SE";"TOTAL";"GENCONV";6565;60,128161;18,643501;"Sweden"
"156";"UK";"TOTAL";"GENCONV";2260;55,378051;-3,435973;"United Kingdom"
"157";"IS";"TOTAL";"GENCONV";15;64,963051;-19,020835;"Iceland"
"158";"LI";"TOTAL";"GENCONV";5;47,166;9,555373;"Liechtenstein"
"159";"NO";"TOTAL";"GENCONV";2650;60,472024;8,468946;"Norway"
"160";"CH";"TOTAL";"GENCONV";1410;46,818188;8,227512;"Switzerland"
"161";"BE";"SY";"TOTAL";995;50,503887;4,469936;"Belgium"
"162";"BG";"SY";"TOTAL";495;42,733883;25,48583;"Bulgaria"
"163";"CZ";"SY";"TOTAL";25;49,817492;15,472962;"Czech Republic"
"164";"DK";"SY";"TOTAL";625;56,26392;9,501785;"Denmark"
"165";"DE";"SY";"TOTAL";72770;51,165691;10,451526;"Germany"
"166";"EE";"SY";"TOTAL";20;58,595272;25,013607;"Estonia"
"167";"IE";"SY";"TOTAL";45;53,41291;-8,24389;"Ireland"
"168";"EL";"SY";"TOTAL";1350;39,074208;21,824312;"Greece"
"169";"ES";"SY";"TOTAL";655;40,463667;-3,74922;"Spain"
"170";"FR";"SY";"TOTAL";1825;46,227638;2,213749;"France"
"171";"HR";"SY";"TOTAL";10;45,1;15,2;"Croatia"
"172";"IT";"SY";"TOTAL";285;41,87194;12,56738;"Italy"
"173";"CY";"SY";"TOTAL";290;35,126413;33,429859;"Cyprus"
"174";"LV";"SY";"TOTAL";40;56,879635;24,603189;"Latvia"
"175";"LT";"SY";"TOTAL";95;55,169438;23,881275;"Lithuania"
"176";"LU";"SY";"TOTAL";160;49,815273;6,129583;"Luxembourg"
"177";"HU";"SY";"TOTAL";590;47,162494;19,503304;"Hungary"
"178";"MT";"SY";"TOTAL";50;35,937496;14,375416;"Malta"
"179";"NL";"SY";"TOTAL";870;52,132633;5,291266;"Netherlands"
"180";"AT";"SY";"TOTAL";5365;47,516231;14,550072;"Austria"
"181";"PL";"SY";"TOTAL";5;51,919438;19,145136;"Poland"
"182";"PT";"SY";"TOTAL";40;39,399872;-8,224454;"Portugal"
"183";"RO";"SY";"TOTAL";255;45,943161;24,96676;"Romania"
"184";"SI";"SY";"TOTAL";30;46,151241;14,995463;"Slovenia"
"185";"SK";"SY";"TOTAL";0;48,669026;19,699024;"Slovakia"
